seqid,source,type,start,end,score,strand,phase,attributes
1B,IWGSC,gene,15448355.0,15451124.0,.,-,.,ID=gene:TraesCS1B02G031600;biotype=protein_coding;gene_id=TraesCS1B02G031600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,15744865.0,15751148.0,.,-,.,ID=gene:TraesCS1B02G032500;biotype=protein_coding;description=Probable serine/threonine-protein kinase WNK3 [Source:Projected from Arabidopsis thaliana (AT3G48260) UniProtKB/Swiss-Prot%3BAcc:Q9STK6];gene_id=TraesCS1B02G032500;logic_name=iwgsc_high_conf
1B,IWGSC,gene,15869836.0,15875064.0,.,+,.,ID=gene:TraesCS1B02G032600;biotype=protein_coding;gene_id=TraesCS1B02G032600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16216483.0,16217635.0,.,+,.,ID=gene:TraesCS1B02G033200;biotype=protein_coding;gene_id=TraesCS1B02G033200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16464518.0,16464769.0,.,-,.,ID=gene:TraesCS1B02G033900;biotype=protein_coding;gene_id=TraesCS1B02G033900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16465496.0,16465732.0,.,+,.,ID=gene:TraesCS1B02G034000;biotype=protein_coding;gene_id=TraesCS1B02G034000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16478350.0,16479064.0,.,+,.,ID=gene:TraesCS1B02G034100;biotype=protein_coding;gene_id=TraesCS1B02G034100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16480168.0,16480743.0,.,-,.,ID=gene:TraesCS1B02G034200;biotype=protein_coding;gene_id=TraesCS1B02G034200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16530030.0,16530854.0,.,+,.,ID=gene:TraesCS1B02G034600;biotype=protein_coding;gene_id=TraesCS1B02G034600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16532045.0,16534107.0,.,+,.,ID=gene:TraesCS1B02G034700;biotype=protein_coding;gene_id=TraesCS1B02G034700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16644449.0,16645738.0,.,+,.,ID=gene:TraesCS1B02G034900;biotype=protein_coding;gene_id=TraesCS1B02G034900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,16693069.0,16693803.0,.,+,.,ID=gene:TraesCS1B02G035100;biotype=protein_coding;gene_id=TraesCS1B02G035100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17352277.0,17357093.0,.,-,.,ID=gene:TraesCS1B02G036400;biotype=protein_coding;gene_id=TraesCS1B02G036400;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17379054.0,17386839.0,.,+,.,ID=gene:TraesCS1B02G036500;biotype=protein_coding;gene_id=TraesCS1B02G036500;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17622750.0,17624788.0,.,-,.,ID=gene:TraesCS1B02G036900;biotype=protein_coding;gene_id=TraesCS1B02G036900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17681156.0,17687028.0,.,+,.,ID=gene:TraesCS1B02G037000;biotype=protein_coding;description=Protein DETOXIFICATION [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5SJS4];gene_id=TraesCS1B02G037000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17730527.0,17739883.0,.,+,.,ID=gene:TraesCS1B02G037100;biotype=protein_coding;gene_id=TraesCS1B02G037100;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17788683.0,17792569.0,.,+,.,ID=gene:TraesCS1B02G037600;biotype=protein_coding;gene_id=TraesCS1B02G037600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17792653.0,17795262.0,.,-,.,ID=gene:TraesCS1B02G037700;biotype=protein_coding;gene_id=TraesCS1B02G037700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17795791.0,17799116.0,.,-,.,ID=gene:TraesCS1B02G037800;biotype=protein_coding;gene_id=TraesCS1B02G037800;logic_name=iwgsc_high_conf
1B,IWGSC,gene,17810810.0,17816891.0,.,-,.,ID=gene:TraesCS1B02G037900;biotype=protein_coding;gene_id=TraesCS1B02G037900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,18570322.0,18571755.0,.,-,.,ID=gene:TraesCS1B02G038900;biotype=protein_coding;gene_id=TraesCS1B02G038900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,20172786.0,20177655.0,.,+,.,ID=gene:TraesCS1B02G040800;biotype=protein_coding;description=Replication protein A subunit [Source:UniProtKB/TrEMBL%3BAcc:A0A341NWK7];gene_id=TraesCS1B02G040800;logic_name=iwgsc_high_conf
1B,IWGSC,gene,20585218.0,20588374.0,.,+,.,ID=gene:TraesCS1B02G041200;biotype=protein_coding;gene_id=TraesCS1B02G041200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,20588785.0,20595873.0,.,-,.,ID=gene:TraesCS1B02G041300;biotype=protein_coding;gene_id=TraesCS1B02G041300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,22021104.0,22025774.0,.,-,.,ID=gene:TraesCS1B02G042000;biotype=protein_coding;description=Pectin acetylesterase [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5SJX9];gene_id=TraesCS1B02G042000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,22069090.0,22069961.0,.,-,.,ID=gene:TraesCS1B02G042200;biotype=protein_coding;gene_id=TraesCS1B02G042200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,22074316.0,22087881.0,.,-,.,ID=gene:TraesCS1B02G042300;biotype=protein_coding;description=Outer envelope pore protein 16-1%2C chloroplastic [Source:Projected from Arabidopsis thaliana (AT2G28900) UniProtKB/Swiss-Prot%3BAcc:Q9ZV24];gene_id=TraesCS1B02G042300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,22108695.0,22111810.0,.,+,.,ID=gene:TraesCS1B02G042400;biotype=protein_coding;gene_id=TraesCS1B02G042400;logic_name=iwgsc_high_conf
1B,IWGSC,gene,22701051.0,22710184.0,.,+,.,ID=gene:TraesCS1B02G043200;biotype=protein_coding;gene_id=TraesCS1B02G043200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,23597344.0,23599636.0,.,+,.,ID=gene:TraesCS1B02G043600;biotype=protein_coding;gene_id=TraesCS1B02G043600;logic_name=iwgsc_high_conf
1B,IWGSC,gene,23980078.0,23980388.0,.,-,.,ID=gene:TraesCS1B02G044000;biotype=protein_coding;gene_id=TraesCS1B02G044000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,24258498.0,24262220.0,.,-,.,ID=gene:TraesCS1B02G044300;biotype=protein_coding;gene_id=TraesCS1B02G044300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,24350152.0,24354805.0,.,-,.,ID=gene:TraesCS1B02G044400;biotype=protein_coding;gene_id=TraesCS1B02G044400;logic_name=iwgsc_high_conf
1B,IWGSC,gene,24494418.0,24501571.0,.,+,.,ID=gene:TraesCS1B02G044500;biotype=protein_coding;gene_id=TraesCS1B02G044500;logic_name=iwgsc_high_conf
1B,IWGSC,gene,25112830.0,25113940.0,.,-,.,ID=gene:TraesCS1B02G045300;biotype=protein_coding;gene_id=TraesCS1B02G045300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,25818753.0,25822339.0,.,-,.,ID=gene:TraesCS1B02G045800;biotype=protein_coding;gene_id=TraesCS1B02G045800;logic_name=iwgsc_high_conf
1B,IWGSC,gene,25892563.0,25897357.0,.,-,.,ID=gene:TraesCS1B02G045900;biotype=protein_coding;gene_id=TraesCS1B02G045900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,25942903.0,25945792.0,.,-,.,ID=gene:TraesCS1B02G046000;biotype=protein_coding;gene_id=TraesCS1B02G046000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,26134317.0,26136011.0,.,-,.,ID=gene:TraesCS1B02G046200;biotype=protein_coding;description=Chalcone-flavonone isomerase family protein [Source:UniProtKB/TrEMBL%3BAcc:W5AAU0];gene_id=TraesCS1B02G046200;logic_name=iwgsc_high_conf
1B,IWGSC,gene,26185384.0,26189253.0,.,-,.,ID=gene:TraesCS1B02G046300;biotype=protein_coding;gene_id=TraesCS1B02G046300;logic_name=iwgsc_high_conf
1B,IWGSC,gene,26621671.0,26638285.0,.,+,.,ID=gene:TraesCS1B02G046800;biotype=protein_coding;gene_id=TraesCS1B02G046800;logic_name=iwgsc_high_conf
1B,IWGSC,gene,26782156.0,26786443.0,.,-,.,ID=gene:TraesCS1B02G047000;biotype=protein_coding;gene_id=TraesCS1B02G047000;logic_name=iwgsc_high_conf
1B,IWGSC,gene,27235878.0,27242405.0,.,-,.,ID=gene:TraesCS1B02G047400;biotype=protein_coding;gene_id=TraesCS1B02G047400;logic_name=iwgsc_high_conf
1B,IWGSC,gene,27674856.0,27678226.0,.,-,.,ID=gene:TraesCS1B02G047700;biotype=protein_coding;gene_id=TraesCS1B02G047700;logic_name=iwgsc_high_conf
1B,IWGSC,gene,28561964.0,28564707.0,.,-,.,ID=gene:TraesCS1B02G048800;biotype=protein_coding;gene_id=TraesCS1B02G048800;logic_name=iwgsc_high_conf
1B,IWGSC,gene,28626101.0,28626916.0,.,+,.,ID=gene:TraesCS1B02G048900;biotype=protein_coding;description=Histone H2A [Source:UniProtKB/TrEMBL%3BAcc:A0A1D5SL73];gene_id=TraesCS1B02G048900;logic_name=iwgsc_high_conf
1B,IWGSC,gene,28762792.0,28763678.0,.,+,.,ID=gene:TraesCS1B02G049100;biotype=protein_coding;description=Histone H2A [Source:UniProtKB/TrEMBL%3BAcc:W5A8H1];gene_id=TraesCS1B02G049100;logic_name=iwgsc_high_conf
